country,year,cctyear,region,ifgt0,ifgt1,ieduchildout,ieducompleteprimary,igenpop,igenpopgrowth,igenpopdensity,igovedugdp,igovgini,igovconsumexp,igovgdpppp,igovgdppppcapita,ilabforce,ilabprimaryedu,imedmortinfant,imeddptimmuinfant,imedmeaimmuinfant,imedcalpday,imedundernourishment,imedlowweightnewborn,imedprenatalcare,imedlifeexpbirth,imeddrpk,imedskilledbirth,imedh2o,cctparticipants,cctsizelocal,eventualcct,yearfromcct,continent,countryyear,mocctparticipants,mocctsizelocal,fgt0ppp2,fgt1ppp2,fgt0ppp125,fgt1ppp125,fgt0rural,fgt1rural,fgt0urb,fgt1urb,igenpop_one,igovgdpppp_ones,govedugdp,govgini,educhildout,educompleteprimary,edupersist5th,edupersistprimary,eduprogresssecondary,edulit,edulityouth,eduenrollprimary,eduenrollprimarypcnet,eduenrollsecondarypcnet,eduenrollpreprimarypcgross,eduenrolltertiarypcgross,edudurationprimary,edudurationsecondary,eduintake1stgross,edurepeatprimary,edurepeatsecondary,edustartprimary,edustartsecondary,eduteacherratioprimary,eduteacherratiosecondary,eduteachersecondary,eduteachersprimary,eduteachtrainprimary,genpop,genpopgrowth,geninch10pc,geninch20pc,genincl10pc,genincl20pc,genpopadult,genpopdensity,genpoplcity,genpoplcitypcurb,genpopold,genpopruralgrowth,genpoprural,genpopruralpc,genpopurbgrowth,genpopurb,genpopurbagglomerate1mil,genpopurbagglomerate1milpc,genpopurbpc,genpopyouth,govconsumexp,govgdpppp,govgdppppcapita,goveduexp,govgnippp,govppplcux,govpppmktx,govpppprivlcux,govstuexpprimary,govstuexpsecondary,govstuexptertiary,labforce,labparticipation,labprimaryedu,labsecondaryedu,labtertiaryedu,labunemp,labunemplt,labunempprimaryedu,labunempsecondaryedu,labunemptertiaryedu,labunempyouth,medmortinfant,meddptimmuinfant,medmeaimmuinfant,meddrpk,medlifeexpbirth,medlowweightnewborn,medprenatalcare,medskilledbirth,medcalpday,medaritreatu5,medcontraprev,meddiatreatu5,medfertility,medfertilityteen,medh2o,medhiv,medhivkid,medmalfeveranddrugsu5,mednursepk,medtechpk,medteenmom,medtetnewborn,medtub,medtubtreat,medheight4ageu5,medmortneonatal,medmortu5,medtubdetect,medundernourishment,medweight4ageu5,program,ttype,ccountry,cyear
Albania,1990,,Balkans,,,,,3.289483,1.027427,120.0541,4.959732,,,9.30E+03,2826.7651,1379861,,35.6,94,88,,,6.5,,71.64544,1.3741,,,,,0,,Europe,Albania1990,,,,,,,,,,,3289483,9.30E+09,,,,,,,,,,,,,56.51609,8.07552,4,8,,,,6,10,,,,,,3289483,1.027427,,,,,61.89687,120.0541,247270,20.65106,5.326947,0.619455,2092111,63.6,1.744276,1197372,,,36.4,32.77618,,9.30E+09,2826.765,,9.29E+09,1.808122,0.2260153,,,,,1379861,62.4,,,,,,,,,,35.6,94,88,1.3741,71.64544,6.5,,,,,,,3.219,,,,,,,,,,24,,,17,41.1,81,,,,0,ALB,YR1990
Albania,1991,,Balkans,,,,,3.291695,0.067222,120.1349,4.785274,,3.17E+09,6.77E+03,2056.6101,1342976,,34.5,78,80,,,7.1,,71.53149,1.4703,,,,,0,,Europe,Albania1991,,,,,,,,,,,3291695,6.77E+09,,,,,,,,,,,,,58.57807,6.92201,4,8,,,,6,10,,,,,,3291695,0.067222,,,,,61.88473,120.1349,254918,20.9872,5.440238,-0.722048,2077060,63.1,1.4315,1214636,,,36.9,32.67503,3.17E+09,6.77E+09,2056.61,,6.64E+09,2.423138,0.1682735,4.70506,,,,1342976,60.6,,,,,,,,,,34.5,78,80,1.4703,71.53149,,,,,,,,3.058,,,,,,,,,,24,,,17,39.8,78,,,,0,ALB,YR1991
Albania,1992,,Balkans,,,,,3.266983,-0.7535701,119.233,4.610816,,5.44E+09,6.42E+03,1963.4747,1319957,,33.6,94,87,180,5,7.7,,71.46522,1.6501,,,,,0,,Europe,Albania1992,,,,,,,,,,,3266983,6.42E+09,,,,,,,,,,,,,,9.01043,4,,,,,6,,,,,,,3266983,-0.7535701,,,,,61.74081,119.233,262814,21.50949,5.597398,-1.549119,2045131,62.6,0.5923453,1221852,,,37.4,32.6618,5.44E+09,6.42E+09,1963.475,,6.15E+09,8.298519,0.110599,14.88782,,,,1319957,60,,,,,,,,,,33.6,94,87,1.6501,71.46522,,,,180,,,,2.91,,,,,,,,,,24,,,16,38.6,,5,,,0,ALB,YR1992
Albania,1993,,Balkans,,,,,3.224901,-1.296468,117.6971,4.436359,,5.60E+09,7.19E+03,2227.8445,1320028,,32.5,96,76,176,5,8.3,,71.487,1.4254,,,,,0,,Europe,Albania1993,,,,,,,,,,,3224901,7.19E+09,,,,,,,,,,,,,,7.64449,4,,,,,6,,,,,,,3224901,-1.296468,,,,,61.53064,117.6971,270931,22.16681,5.792327,-2.098397,2002664,62.1,0.0315731,1222238,,,37.9,32.67704,5.60E+09,7.19E+09,2227.844,,7.11E+09,17.4457,0.1709315,26.75351,,,,1320028,60.8,,,,,,,,,,32.5,96,76,1.4254,71.487,8.3,,,,,,,2.784,,,,,,,,,,24,,,16,37.3,,,,,0,ALB,YR1993
Albania,1994,,Balkans,,,,,3.179442,-1.419654,116.038,4.261901,,5.64E+09,7.94E+03,2497.0796,1315084,,31.6,99,90,172,5,7.542857,,71.61773,1.315399,,,,,0,,Europe,Albania1994,,,,,,,,,,,3179442,7.94E+09,,,,,,,,,,,,,36.96662,10.60809,4,,,,,6,,,,,,,3179442,-1.419654,,,,,61.35348,116.038,279311,22.87736,6.011525,-2.228066,1958536,61.6,-0.1090195,1220906,,,38.4,32.63499,5.64E+09,7.94E+09,2497.08,,7.96E+09,23.66588,0.2501062,31.95719,,,,1315084,61.4,,,,,,,,,,31.6,99,90,1.315399,71.61773,,,,,,,,2.683,,,,,,,,,,24,,,15,36.2,91,,,,0,ALB,YR1994
Albania,1995,,Balkans,,,,,3.141102,-1.213202,114.6388,4.087443,,6.06E+09,9.21E+03,2930.3469,1310906,,30.7,97,91,168,5,6.785715,,71.87029,1.306,,96,,,0,,Europe,Albania1995,,,,,,,,,,,3141102,9.21E+09,,,,,,,,,,,,,37.49446,,4,8,,,,6,10,,,,,,3141102,-1.213202,,,,,61.28868,114.6388,287950,23.56598,6.241982,-2.028202,1919213,61.1,0.0804775,1221889,,,38.9,32.46934,6.06E+09,9.21E+09,2930.347,,9.37E+09,24.41681,0.2634031,33.50765,,,,1310906,61.8,,,,,,,,,,30.7,97,91,1.306,71.87029,,,,,,,,2.604,,96,,,,,,,,24,,,15,35.1,84,,,,0,ALB,YR1995
Albania,1996,,Balkans,,,,93.431778,3.112597,-0.9116268,113.5984,3.912986,,5.62E+09,1.02E+04,3283.4153,1307124,,29.8,98,92,164,5,6.028572,,72.24107,1.354,,96.2,,,0,,Europe,Albania1996,,,,,,,,,,,3112597,1.02E+10,,,,93.43178,,,98.37603,,,,,,40.19953,,4,,97.63029,4.01889,4.16875,6,,,,,,,3112597,-0.9116268,,,,,61.36301,113.5984,296869,24.17046,6.479706,-1.832383,1884366,60.54,0.5176982,1228231,,,39.46,32.15728,5.62E+09,1.02E+10,3283.415,,1.05E+10,30.81013,0.2948369,36.69602,,,,1307124,61.9,,,,,,,,,,29.8,98,92,1.354,72.24107,,,,,,,,2.54,,,,,,,,,,24,,,15,34,97,,,,0,ALB,YR1996
Albania,1997,,Balkans,6.500000,0.880000,,96.505987,3.091902,-0.6670991,112.8431,3.738528,29.12,6.28E+09,9.35E+03,3025.4631,1296333,,28.5,99,95,160,5,5.271429,,72.69608,1.295,,96.4,,,0,,Europe,Albania1997,,,6.5,0.88,0.2,0.02,,,,,3091902,9.35E+09,,29.12,,,,,,,,,,,,13.52684,4,,,,,6,,,,,,,3091902,-0.6670991,22.71,37.95,3.78,8.72,61.5597,112.8431,306038,24.73276,6.724853,-1.596412,1854523,59.98,0.7420838,1237379,,,40.02,31.71544,6.28E+09,9.35E+09,3025.463,,9.57E+09,34.44206,0.2347789,47.75549,,,,1296333,61.4,,,,,,,,,,28.5,99,95,1.295,72.69608,,,,160,,,,2.478,11.819,,,,,,,,,24,,,14,32.4,87,5,,,0,ALB,YR1997
Albania,1998,,Balkans,6.952000,0.984000,,99.580195,3.079037,-0.416955,112.3736,3.564071,28.926,5.72E+09,1.07E+04,3469.0896,1303455,,27.4,96,89,160,5,4.514286,,73.19781,1.289,,96.6,,,0,,Europe,Albania1998,,,,,,,,,,,3079037,1.07E+10,,,,,,,,,,,,,,,4,8,,,,6,10,,,,,,3079037,-0.416955,,,,,61.86413,112.3736,315503,25.25088,6.970326,-1.354985,1829564,59.42,0.9726455,1249473,,,40.58,31.16555,5.72E+09,1.07E+10,3469.09,,1.09E+10,38.60204,0.2553721,56.73293,,,,1303455,61.5,,,,,,51.1,42.1,6.8,,27.4,96,89,1.289,73.19781,,,,,,,,2.409,12.9258,,,,,,,,,26,,20.4,14,31.1,87,,7.1,,0,ALB,YR1998
Albania,1999,,Balkans,7.404000,1.088000,2211.0000,102.6544,3.072725,-0.2052096,112.1432,3.389613,28.732,5.84E+09,1.19E+04,3883.4058,1312494,,26.3,97,85,160,5,3.757143,,73.72183,1.282,,96.8,,,0,,Europe,Albania1999,,,,,,,,,,,3072725,1.19E+10,,,2211,102.6544,,90.13101,90.9706,,,99.54194,99.17279,68.41554,43.35607,15.85319,4,8,102.3511,3.9268,,6,10,22.56761,,,12942,,3072725,-0.2052096,,,,,62.24473,112.1432,325262,25.73033,7.209473,-1.152122,1808606,58.86,1.165345,1264119,,,41.14,30.54579,5.84E+09,1.19E+10,3883.406,,1.21E+10,39.74737,0.2878159,55.73439,,,,1312494,61.5,,,,,,,,,,26.3,97,85,1.282,73.72183,,,,,,,,2.33,14.0326,,,,,,,,,27,,,13,29.8,87,,,,0,ALB,YR1999
Albania,2000,,Balkans,7.856000,1.192000,2119.0000,101.7197,3.071856,-0.0282851,112.1115,3.215155,28.538,6.44E+09,1.31E+04,4258.2529,1320257,,25.3,97,95,160,5,3,95.2,74.23873,1.389,99.1,97,,,0,,Europe,Albania2000,,,,,,,,,,,3071856,1.31E+10,,,2119,101.7197,,89.61138,94.03323,,,99.42025,99.17911,67.48187,44.22456,16.66099,4,8,104.7982,3.93223,4.8272,6,10,22.56784,16.34557,22250,12551,,3071856,-0.0282851,,,,,62.67491,112.1115,335336,26.17841,7.437881,-0.98425,1790892,58.3,1.323739,1280964,,,41.7,29.88721,6.44E+09,1.31E+10,4258.253,,1.35E+10,40.58693,0.281838,53.94077,,,,1320257,61.3,,,,,,,,,,25.3,97,95,1.389,74.23873,3,95.2,99.1,,83,57.5,50.7,2.241,15.1394,97,,,,,,,,23,,39.2,13,28.6,87,,17,,0,ALB,YR2000
Albania,2001,,Balkans,8.308000,1.296000,1545.0000,103.3042,3.077378,0.1795997,112.3131,3.040698,28.344,7.73E+09,1.43E+04,4651.2676,1331247,56.9,24.3,97,95,160,5,3.8,92.9,74.72366,1.347,98.55,97,,,0,,Europe,Albania2001,,,,,,,,,,,3077378,1.43E+10,,,1545,103.3042,,89.28824,,98.71297,99.43515,97.67411,99.37898,69.41268,46.90386,16.53842,4,8,107.4812,4.05239,6.14376,6,10,21.75244,16.92989,22280,12607,,3077378,0.1795997,,,,,63.15185,112.3131,345693,26.54386,7.648679,-0.8895604,1775032,57.68,1.655465,1302346,,,42.32,29.19947,7.73E+09,1.43E+10,4651.268,,1.48E+10,41.05966,0.2858113,54.08839,,,,1331247,61.1,56.9,33.4,8,22.7,,56.3,38.9,3.3,35.45798,24.3,97,95,,74.72366,,,,,,,,2.142,16.2462,,,,,,,,,21,91,,12,27.4,87,5,,,0,ALB,YR2001
Albania,2002,,Balkans,8.760000,1.400000,4995.0000,102.2078,3.089778,0.4021308,112.7656,2.866240,28.15,7.52E+09,1.50E+04,4844.3887,1345704,60.1,23.2,98,96,160,5,4.6,90.6,75.16122,1.305,98,97,,,0,,Europe,Albania2002,,,8.76,1.4,0.57,0.09,29.6,6.6,19.5,4.5,3089778,1.50E+10,2.86624,28.15,,,,89.84552,,,,95.35758,,,,16.11522,4,8,,,,6,10,21.4958,,,12263,,3089778,0.4021308,22.58,37.41,3.95,9.09,63.67515,112.7656,356304,26.85538,7.841141,-0.6785839,1763027,57.06,1.856531,1326751,,,42.94,28.48371,7.52E+09,1.50E+10,4844.389,8.43494,1.54E+10,41.73666,0.2972573,57.38126,7.77695,,36.58375,1345704,60.9,60.1,29.9,7.9,,,56.4,38.4,3.4,,23.2,98,96,1.305,75.16122,4.6,90.6,98,160,,75.1,,2.04,17.353,,,,,,,6.4,,22,84,,12,26.1,87,,,,0,ALB,YR2002
Albania,2003,,Balkans,7.165000,1.180000,8445.0000,101.1114,3.106701,0.5462148,113.3832,,29.62,9.03E+09,1.62E+04,5202.3911,1360202,,22.4,97,93,160,5,5.366667,92.76666,75.54202,1.26625,98.6,97,,,0,,Europe,Albania2003,,,,,,,,,,,3106701,1.62E+10,,,8445,101.1114,,89.92898,97.71539,,,93.20096,96.48526,74.28602,47.56791,15.77898,4,8,101.9396,2.81416,4.16397,6,10,21.49541,17.66585,22424,11762,,3106701,0.5462148,,,,,64.22318,113.3832,367131,27.129,8.025745,-0.5463071,1753422,56.44,1.979765,1353279,,,43.56,27.75107,9.03E+09,1.62E+10,5202.391,,1.66E+10,42.23842,0.3497234,56.37912,,,,1360202,60.6,,,,,,,,,,22.4,97,93,,75.54202,,,,,,,,1.941,17.4536,,,,,,,,,20,88,,12,25.2,86,,,,0,ALB,YR2003
Albania,2004,,Balkans,5.570000,0.960000,15754.0000,98.425087,3.124861,0.5828411,114.046,,31.09,1.21E+10,1.76E+04,5632.5273,1377642,,21.4,97,96,160,5,6.133333,94.93333,75.85912,1.2275,99.2,97,,,0,,Europe,Albania2004,,,5.57,0.96,0.53,0.11,,,,,3124861,1.76E+10,,31.09,15754,98.42509,,,,,,90.80335,93.39375,,47.43068,18.37739,4,8,96.67952,2.14662,3.26223,6,10,21.49549,17.6,22560,11653,,3124861,0.5828411,24.41,39.51,3.45,8.18,64.77245,114.046,378127,27.38932,8.218446,-0.5217488,1744297,55.82,1.996131,1380564,,,44.18,27.00911,1.21E+10,1.76E+10,5632.527,,1.80E+10,43.54213,0.4240955,56.16101,,,,1377642,60.4,,,,,,,,,,21.4,97,96,,75.85912,,,,,,,,1.847,17.5542,,,,,,,,,20,75,,11,24.1,86,,,,0,ALB,YR2004
Albania,2005,,Balkans,7.850000,1.450000,21256.2500,96.29628,3.1418,0.5406082,114.6642,,33.03,1.35E+10,1.92E+04,6107.416,1394631,,20.3,98,97,160,5,6.9,97.1,76.112,1.18875,99.8,97,,,0,,Europe,Albania2005,,,7.85,1.45,0.85,0.17,24.2,5.3,11.2,2.3,3141800,1.92E+10,,33.03,,,,,,,,,,,,,4,8,,,,6,10,,,,,,3141800,0.5406082,26.05,41.17,3.3,7.81,65.30661,114.6642,389226,27.65319,8.4302,-0.5763193,1734274,55.2,1.934202,1407526,,,44.8,26.26319,1.35E+10,1.92E+10,6107.416,,1.96E+10,43.59849,0.4365417,55.60362,,,,1394631,60.2,,,,,,,,,,20.3,98,97,,76.112,6.9,97.1,99.8,,45.3,60.1,50.3,1.764,17.6548,97,,,,,,,,19,79,27,11,22.8,86,,6.6,,0,ALB,YR2005
Albania,2006,,Balkans,6.650000,1.250000,26758.5000,94.167473,3.156607,0.4701833,115.2046,,33.52333,1.48E+10,2.15E+04,6802.8682,1408329,,19.6,97,95,160,5,,97.15,76.30963,1.15,99.675,97,,,0,,Europe,Albania2006,,,,,,,,,,,3156607,2.15E+10,,,,,,,,,,,,,,,4,8,,,,6,10,,,,,,3156607,0.4701833,,,,,65.81571,115.2046,400315,27.90892,8.667223,-0.6960107,1722245,54.56,1.888647,1434362,,,45.44,25.51707,1.48E+10,2.15E+10,6802.868,,2.21E+10,41.7219,0.425285,54.32524,,,,1408329,59.9,,,,,,,,,,19.6,97,95,1.15,76.30963,,,,160,,,,1.692,17.7554,,,,,4.05,,,87,17,90,,10,22,86,,,,0,ALB,YR2006
Albania,2007,,Balkans,5.450000,1.050000,32260.7500,92.038666,3.169665,0.4128188,115.6812,,34.01667,1.54E+10,2.28E+04,7183.856,1423443,,18.7,98,97,160,5,,97.2,76.47341,1.146,99.55,97,,,0,,Europe,Albania2007,,,,,,,,,,,3169665,2.28E+10,,,,,,,,,,,,,,,4,8,,,,6,10,,,,,,3169665,0.4128188,,,,,66.29906,115.6812,411287,28.15912,8.924253,-0.7671359,1709083,53.92,1.811443,1460582,,,46.08,24.77668,1.54E+10,2.28E+10,7183.856,,2.34E+10,42.5113,0.4701127,55.09126,,,,1423443,59.7,,,,,,,,,,18.7,98,97,1.146,76.47341,,,,160,,,,1.635,17.856,,,,,4.03,,,87,16,85,,10,21,86,,,,0,ALB,YR2007
Albania,2008,,Balkans,4.250000,0.850000,37763.0000,89.909859,3.181397,0.3694504,116.1094,,34.51,1.70E+10,2.63E+04,8257.9893,1435250,,17.8,99,98,,5,,97.25,76.62076,,99.425,97,,,0,,Europe,Albania2008,,,4.25,0.85,0.62,0.19,14.6,2.6,10.1,1.9,3181397,2.63E+10,,34.51,37763,89.90986,92.15649,,98.37604,95.93864,98.83121,,82.78822,,53.85115,,4,8,92.72525,1.45483,,6,10,24.85404,16.79416,24208,10277,,3181397,0.3694504,28.99,43.02,3.53,8.14,66.76171,116.1094,422065,28.3961,9.187496,-0.8245936,1695048,53.28,1.748783,1486349,,,46.72,24.05079,1.70E+10,2.63E+10,8257.989,,2.66E+10,41.413,0.4936313,54.52437,,,,1435250,59.4,,,,12.7,,,,,,17.8,99,98,,76.62076,,,,,,,,1.59,17.2674,97,,,,,,,87,16,91,,9,19.9,86,5,,,0,ALB,YR2008
Albania,2009,,Balkans,,,43010.0000,86.316658,3.192723,0.3553749,116.5227,,,1.83E+10,2.75E+04,8596.2451,1456096,,17.2,98,97,,,,97.3,76.7611,,99.3,,,,0,,Europe,Albania2009,,,,,,,,,,,3192723,2.75E+10,,,43010,86.31666,95.22871,,98.95699,,,84.74141,79.64216,,55.51018,,4,8,78.87994,1.37017,1.45346,6,10,20.17793,14.7321,24069,11701,,3192723,0.3553749,,,,,67.21307,116.5227,432652,28.61316,9.436866,-0.853099,1680649,52.64,1.71594,1512074,,,47.36,23.35007,1.83E+10,2.75E+10,8596.245,,2.72E+10,41.68272,0.4388666,54.80013,,,,1456096,59.5,,,,,,,,,,17.2,98,97,,76.7611,,97.3,99.3,,70,69.3,63.3,1.558,16.6788,,,,,,,,,15,89,,9,19.3,93,,,,0,ALB,YR2009
